Acc,Cans,Kilograms,Fat,SNF,Date,Shift
949,2,66,5.7,8.9,2017-08-25,0
795,3,100,6.2,8.8,2017-08-25,1
3665,2,57,6.2,9.0,2017-08-25,1
865,2,50,6.7,8.8,2017-08-25,1
2959,2,51,6.9,8.9,2017-08-25,1
871,2,47,6.3,8.7,2017-08-25,1
786,1,12,5.6,8.6,2017-08-25,1
893,1,25,6.3,8.6,2017-08-25,1
460,1,40,6.6,8.6,2017-08-25,1
925,1,21,5.1,8.4,2017-08-25,1
457,1,9,5.3,8.4,2017-08-25,1
3536,2,56,6.5,8.8,2017-08-25,1
949,2,62,6.8,8.8,2017-08-25,1
873,1,38,6.7,8.7,2017-08-25,1
873,2,62,5.2,8.4,2017-08-25,0
3665,2,80,6.2,9.0,2017-08-25,0
865,1,22,6.8,8.7,2017-08-25,0
2959,1,38,6.6,8.8,2017-08-25,0
871,1,21,7.3,8.7,2017-08-25,0
786,1,8,5.3,8.5,2017-08-25,0
893,1,33,6.1,8.5,2017-08-25,0
460,1,5,5.0,8.7,2017-08-25,0
925,1,31,5.6,8.3,2017-08-25,0
457,2,53,4.8,8.3,2017-08-25,0
3536,1,35,5.6,8.8,2017-08-25,0
795,3,100,6.2,8.7,2017-08-25,0
3536,2,54,6.7,8.8,2017-08-26,1
457,2,47,4.8,8.2,2017-08-26,1
925,1,20,5.1,8.3,2017-08-26,1
865,2,47,6.6,8.6,2017-08-26,1
786,1,12,5.4,8.5,2017-08-26,1
871,1,38,6.2,8.5,2017-08-26,1
2959,2,62,7.0,8.8,2017-08-26,1
949,2,56,7.1,9.0,2017-08-26,1
893,1,24,6.5,8.5,2017-08-26,1
795,3,82,6.3,8.9,2017-08-26,0
786,1,7,5.3,8.5,2017-08-26,0
3665,3,95,6.3,9.0,2017-08-26,0
865,1,22,5.7,8.6,2017-08-26,0
2959,1,40,6.6,8.9,2017-08-26,0
871,1,22,6.8,8.7,2017-08-26,0
893,1,29,5.7,8.5,2017-08-26,0
925,1,28,5.5,8.3,2017-08-26,0
457,2,53,4.5,8.3,2017-08-26,0
3536,1,30,5.5,8.8,2017-08-26,0
949,2,59,5.9,9.0,2017-08-26,0
3665,3,85,6.4,9.0,2017-08-26,1
873,2,59,5.4,8.7,2017-08-26,0
795,2,70,6.3,8.8,2017-08-26,1
873,2,41,6.7,8.7,2017-08-26,1
873,1,40,6.0,9.0,2017-08-27,1
795,2,55,6.4,9.0,2017-08-27,0
949,2,48,6.9,9.0,2017-08-27,1
3536,2,53,6.9,9.0,2017-08-27,1
457,1,11,4.9,8.2,2017-08-27,1
893,1,25,6.2,8.6,2017-08-27,1
786,1,12,4.7,8.8,2017-08-27,1
871,1,34,6.2,8.5,2017-08-27,1
2959,1,8,6.0,8.9,2017-08-27,1
865,2,45,6.7,8.8,2017-08-27,1
3665,2,68,6.7,9.0,2017-08-27,1
865,1,27,6.2,8.9,2017-08-27,0
795,3,82,6.4,9.0,2017-08-27,1
873,2,55,4.9,8.7,2017-08-27,0
2959,1,32,6.1,8.9,2017-08-27,0
3665,2,70,3.0,8.5,2017-08-27,0
949,2,63,5.6,9.0,2017-08-27,0
3536,1,30,5.2,9.0,2017-08-27,0
457,2,55,4.6,8.3,2017-08-27,0
893,1,31,6.0,8.7,2017-08-27,0
786,1,9,5.6,8.6,2017-08-27,0
871,1,32,6.6,8.7,2017-08-27,0
795,2,80,6.3,9.0,2017-08-28,1
949,2,61,6.1,8.9,2017-08-28,0
3536,1,32,5.3,8.9,2017-08-28,0
457,1,15,4.8,8.4,2017-08-28,0
893,1,34,6.3,8.5,2017-08-28,0
871,1,40,6.0,8.6,2017-08-28,0
2959,2,43,6.9,8.9,2017-08-28,0
865,1,29,6.3,8.8,2017-08-28,0
786,1,10,5.9,8.5,2017-08-28,0
873,2,60,5.6,8.6,2017-08-28,0
3665,2,64,6.5,9.0,2017-08-28,0
3665,1,49,6.6,9.0,2017-08-28,1
865,1,12,6.3,8.7,2017-08-28,1
2959,2,60,6.9,8.8,2017-08-28,1
871,1,23,6.1,8.3,2017-08-28,1
873,1,40,6.0,8.6,2017-08-28,1
893,1,13,6.2,8.5,2017-08-28,1
457,1,11,5.1,8.3,2017-08-28,1
949,2,41,7.0,8.9,2017-08-28,1
795,2,50,6.3,9.0,2017-08-28,0
786,1,11,4.8,8.3,2017-08-28,1
3536,2,41,6.6,8.9,2017-08-28,1
786,1,10,5.2,8.8,2017-08-29,1
871,2,50,6.5,8.7,2017-08-29,1
2959,2,54,7.0,8.9,2017-08-29,1
865,1,36,7.6,8.8,2017-08-29,1
3665,3,54,3.2,8.6,2017-08-29,1
873,2,48,6.0,8.8,2017-08-29,1
795,3,104,7.6,9.0,2017-08-29,1
893,1,25,6.5,8.8,2017-08-29,1
925,1,21,4.3,8.1,2017-08-29,1
949,2,75,5.7,9.0,2017-08-29,0
457,1,13,5.1,8.2,2017-08-29,1
3536,2,50,6.7,9.0,2017-08-29,1
949,2,58,6.9,9.0,2017-08-29,1
873,2,61,5.6,8.8,2017-08-29,0
3665,3,89,6.6,9.0,2017-08-29,0
865,1,26,6.1,8.8,2017-08-29,0
795,3,82,7.5,9.0,2017-08-29,0
871,1,24,6.6,9.0,2017-08-29,0
786,1,9,5.3,8.8,2017-08-29,0
893,1,29,6.7,8.6,2017-08-29,0
925,1,31,5.4,8.3,2017-08-29,0
457,2,48,4.4,8.3,2017-08-29,0
2959,1,39,6.7,8.9,2017-08-29,0
3536,1,30,5.8,9.0,2017-08-29,0
795,4,122,7.8,8.9,2017-08-30,1
457,2,43,4.4,8.2,2017-08-30,1
925,1,21,4.5,8.2,2017-08-30,1
893,1,23,6.7,8.5,2017-08-30,1
786,1,12,4.8,8.5,2017-08-30,1
3665,2,47,3.4,8.5,2017-08-30,1
865,1,31,6.3,8.7,2017-08-30,1
873,2,50,5.8,8.7,2017-08-30,1
3536,2,52,6.8,8.8,2017-08-30,1
2959,2,68,5.9,9.0,2017-08-30,1
949,2,59,6.8,8.9,2017-08-30,1
871,1,34,6.1,8.6,2017-08-30,1
873,2,65,5.0,8.7,2017-08-30,0
