hashtag,tweet,party,polarity
#humnibhayenge,  vikramaditya_jk  rally at inderwal today   humnibhayenge   ,congress,p
#humnibhayenge,  vsugrappa  what pm  narendramodi has stolen from the poor will be given back to the poor  nobody can stop  nyayforindia  humnibhayenge  ,congress,p
#humnibhayenge,  inckarnataka  through the nyuntam aay yojana  nyay  we will guarantee a minimum yearly income of rs      to   crore poorest families  ,congress,p
#humnibhayenge,  jainjain   in   bjp promised     crore jobs    lakh in accounts   women security   development   but deliver none   but rahul s  ,congress,p
#humnibhayenge,  lakshadweepcon   momentum is high    march on  lakshadweep  congress team     lakshadweep with  congress team   we pledge to be at serv  ,congress,p
#humnibhayenge,  lakshadweepcon   momentum is high    march on  lakshadweep  congress team     lakshadweep with  congress team   we pledge to be at serv  ,congress,p
#humnibhayenge, withincldweep  adiravia  mayavi   hasibaamin  safwaninc  inctharoorian  vazeindian  mujworld  rafa___tweets    ,congress,p
#humnibhayenge,  incmaharashtra  through the nyuntam aay yojana  nyay  we will guarantee a minimum yearly income of rs      to   crore poorest famili  ,congress,p
#humnibhayenge, theskindoctor   ani when rahulji kept secret for so many years that he is a janeudhari hindu anything can be kept    ,congress,p
#humnibhayenge,  inckarnataka  what pm  narendramodi has stolen from the poor will be given back to the poor  nobody can stop  nyayforindia  humnibhayen  ,congress,p
#humnibhayenge,  inckarnataka  we believe in protecting our poor  under the nyay scheme     of the country s poorest will be able to live a life of dig  ,congress,p
#humnibhayenge,  inckarnataka  traders and businessmen will no longer have to navigate the maze that the gabbar singh tax is today  under congress  a si  ,congress,p
#humnibhayenge,  inckarnataka  our armed forces today are struggling for procuring new equipment with which to guard our borders  in a congress governme  ,congress,p
#humnibhayenge,  inckarnataka  through the nyuntam aay yojana  nyay  we will guarantee a minimum yearly income of rs      to   crore poorest families  ,congress,p
#humnibhayenge,  lakshadweepcon   momentum is high    march on  lakshadweep  congress team     lakshadweep with  congress team   we pledge to be at serv  ,congress,p
#humnibhayenge,  vikramaditya_jk  rally at inderwal today   humnibhayenge   ,congress,p
