,hashtag,tweet,party,polarity
0,#humnibhayenge,RT @vikramaditya_JK: Rally at Inderwal today. #HumNibhayenge https://t.co/IdmljFsrtS ,congress,p
1,#humnibhayenge,RT @vsugrappa: What PM @narendramodi has stolen from the poor will be given back to the poor. Nobody can stop #NYAYforIndia #HumNibhayenge… ,congress,p
2,#humnibhayenge,"RT @INCKarnataka: Through the Nyuntam Aay Yojana (NYAY) we will guarantee a minimum yearly income of Rs. 72,000 to 5 crore poorest families… ",congress,p
3,#humnibhayenge,RT @JainJain577: In 2014 BJP promised   2 crore Jobs  15 Lakh in accounts   Women Security   Development   but deliver NONE   But Rahul's… ,congress,p
4,#humnibhayenge,RT @LakshadweepCon1: Momentum is High!   March on #Lakshadweep #Congress Team!   #Lakshadweep with #Congress Team👍  We pledge to be at serv… ,congress,p
5,#humnibhayenge,RT @LakshadweepCon1: Momentum is High!   March on #Lakshadweep #Congress Team!   #Lakshadweep with #Congress Team👍  We pledge to be at serv… ,congress,p
6,#humnibhayenge,@WithIncLDweep @ADiravia @Mayavi101 @HasibaAmin @SafwanINC @INCTharoorian @VazeIndian @mujworld @Rafa___Tweets… https://t.co/EijMDrJ4mH ,congress,p
7,#humnibhayenge,"RT @INCMaharashtra: Through the Nyuntam Aay Yojana (NYAY) we will guarantee a minimum yearly income of Rs. 72,000 to 5 crore poorest famili… ",congress,p
8,#humnibhayenge,"@theskindoctor13 @ANI When Rahulji kept secret for so many years that he is a janeudhari Hindu,anything can be kept… https://t.co/FZW3nKljgF ",congress,p
9,#humnibhayenge,RT @INCKarnataka: What PM @narendramodi has stolen from the poor will be given back to the poor. Nobody can stop #NYAYforIndia #HumNibhayen… ,congress,p
10,#humnibhayenge,"RT @INCKarnataka: We believe in protecting our poor. Under the NYAY scheme, 20% of the country's poorest will be able to live a life of dig… ",congress,p
11,#humnibhayenge,"RT @INCKarnataka: Traders and businessmen will no longer have to navigate the maze that the Gabbar Singh Tax is today. Under Congress, a si… ",congress,p
12,#humnibhayenge,RT @INCKarnataka: Our armed forces today are struggling for procuring new equipment with which to guard our borders. In a Congress governme… ,congress,p
13,#humnibhayenge,"RT @INCKarnataka: Through the Nyuntam Aay Yojana (NYAY) we will guarantee a minimum yearly income of Rs. 72,000 to 5 crore poorest families… ",congress,p
14,#humnibhayenge,RT @LakshadweepCon1: Momentum is High!   March on #Lakshadweep #Congress Team!   #Lakshadweep with #Congress Team👍  We pledge to be at serv… ,congress,p
15,#humnibhayenge,RT @vikramaditya_JK: Rally at Inderwal today. #HumNibhayenge https://t.co/IdmljFsrtS ,congress,p
16,#humnibhayenge,RT @RitambharaA: From #NYAY to 150 days of MNREGA to 22 lakh jobs - @INCIndia manifesto is a study in integrity &amp; honesty. The title '#HumN… ,congress,p
17,#humnibhayenge,"RT @RitambharaA: @arunjaitley (Canadian) Nationalist Akshay Kumar has a message for you, Mr Blogster :D  #CongressManifesto2019 #AbNyayHoga… ",congress,p
18,#humnibhayenge,RT @LakshadweepCon1: Momentum is High!   March on #Lakshadweep #Congress Team!   #Lakshadweep with #Congress Team👍  We pledge to be at serv… ,congress,p
19,#humnibhayenge,RT @MahilaCongress: Nyay is not only a game changer but it is the fulfillment of the promise that our founding fathers made - 'Swaraj' for… ,congress,p
20,#humnibhayenge,Momentum is High!   March on #Lakshadweep #Congress Team!   #Lakshadweep with #Congress Team👍  We pledge to be at s… https://t.co/X2nxwoGGK8 ,congress,p
21,#humnibhayenge,"RT @RitambharaA: @arunjaitley (Canadian) Nationalist Akshay Kumar has a message for you, Mr Blogster :D  #CongressManifesto2019 #AbNyayHoga… ",congress,p
22,#humnibhayenge,RT @vikramaditya_JK: Rally at Inderwal today. #HumNibhayenge https://t.co/IdmljFsrtS ,congress,p
23,#humnibhayenge,RT @geetv79: Rahul Gandhi Proves a Serious Contender With A+ Manifesto 👇 #HumNibhayenge #CongressManifesto2019  #NYAYforIndia #CongressMani… ,congress,p
24,#humnibhayenge,"RT @msgpahujaa: A Tsunami is on the way, which is going to sweep aside BJP/Sena in Maharashtra.There is massive support for @INCIndia These… ",congress,p
25,#humnibhayenge,"RT @RitambharaA: @arunjaitley (Canadian) Nationalist Akshay Kumar has a message for you, Mr Blogster :D  #CongressManifesto2019 #AbNyayHoga… ",congress,p
26,#humnibhayenge,RT @geetv79: @RahulGandhi -What has Modi done for our Soldiers who carry out Surgical Strikes? -What has Modi done for our Defence forces?… ,congress,p
27,#humnibhayenge,RT @geetv79: Rahul Gandhi Proves a Serious Contender With A+ Manifesto 👇 #HumNibhayenge #CongressManifesto2019  #NYAYforIndia #CongressMani… ,congress,p
28,#humnibhayenge,RT @geetv79: @RahulGandhi -What has Modi done for our Soldiers who carry out Surgical Strikes? -What has Modi done for our Defence forces?… ,congress,p
29,#humnibhayenge,"RT @geetv79: ""The tax burden of the middle class, the average tax payer will👇NOT increase"" confirmed @PChidambaram_IN  #NYAYForIndia #Congr… ",congress,p
30,#humnibhayenge,RT @geetv79: -Separate Kisan Budget with clarity on MSPs/benefits  -APMC to be scrapped farmers free to sell produce at best prices -Farm l… ,congress,p
31,#humnibhayenge,"RT @geetv79: - 22,00,000 Govt Vacancies to be filled by March 2020 - 10,00,000 rural youth to be employed in Gram Panchayats  - 3 Yr Exempt… ",congress,p
32,#humnibhayenge,"RT @geetv79: ""The tax burden of the middle class, the average tax payer will👇NOT increase"" confirmed @PChidambaram_IN  #NYAYForIndia #Congr… ",congress,p
33,#humnibhayenge,"RT @RitambharaA: @arunjaitley (Canadian) Nationalist Akshay Kumar has a message for you, Mr Blogster :D  #CongressManifesto2019 #AbNyayHoga… ",congress,p
34,#humnibhayenge,#BharatBoleModiModi #PhirEKBaarModiSarkaar #DeshKeLiyeModi #IndiaWantsModiAgain #IndiaSaysNaMoAgain #HumNibhayenge… https://t.co/4ipii5ZucT ,congress,p
