title,genre,storyline,director,image,releasedate,languages
 Long Shot (2019),"['Comedy', 'Romance']","When Fred Flarsky reunites with his first crush, one of the most influential women in the world, Charlotte Field, he charms her. As she prepares to make a run for the Presidency, Charlotte hires Fred as her speechwriter and sparks fly.                    ","['Jonathan Levine', 'Charlize Theron', 'Seth Rogen', 'June Diane Raphael', ""O'Shea Jackson Jr.""]","https://m.media-amazon.com/images/M/MV5BMmE4Mzk0OWQtMDI1OS00NDU3LWI2M2YtNzc1MGMxZGI3ZTE1XkEyXkFqcGdeQXVyMjMxOTE0ODA@._V1_UX140_CR0,0,140,209_AL_.jpg","3 May 2019 (USA)
",['English']
 UglyDolls (2019),"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical']","An animated adventure in which the free-spirited UglyDolls confront what it means to be different, struggle with a desire to be loved, and ultimately discover who you truly are is what matters most.                    ","['Kelly Asbury', 'Kelly Clarkson', 'Nick Jonas', 'Janelle Monáe', 'Blake Shelton']","https://m.media-amazon.com/images/M/MV5BMTc0NjE2ODM2OV5BMl5BanBnXkFtZTgwMjQyNDUzNzM@._V1_UY209_CR0,0,140,209_AL_.jpg","3 May 2019 (Canada)
",['English']
 The Intruder (2019),"['Drama', 'Horror', 'Mystery', 'Thriller']",A young married couple buy a beautiful house on several acres of land only to find out that the man they bought it from refuses to let go of the property.                    ,"['Deon Taylor', 'Meagan Good', 'Dennis Quaid', 'Michael Ealy', 'Joseph Sikora']","https://m.media-amazon.com/images/M/MV5BMzg1ZjcxNjgtMTliNC00NzU3LWE3NGMtZTBjMWFmYzk4OWE0XkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_UY209_CR0,0,140,209_AL_.jpg","3 May 2019 (USA)
",['English']
 El Chicano (2018),['Drama'],A pair of twin brothers from East L.A. choose to live their lives differently and end up on opposite sides of the law.                    ,"['Ben Hernandez Bray', 'Logan Arevalo', 'Jose Pablo Cantillo', 'Tom Carey', 'David Castañeda']","https://m.media-amazon.com/images/M/MV5BYzkyNDJhNDYtODkzMC00NjVmLWI1OWItOWI4ODQwMzZiMWYyXkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_UY209_CR0,0,140,209_AL_.jpg","3 May 2019 (USA)
",['See more']
 Meeting Gorbachev (2018),['Documentary'],"The life of Mikhail Gorbachev, the eighth and final President of the Soviet Union in chronological order.                    ","['Werner Herzog', 'Andre Singer', 'Mikhail Gorbachev', 'Werner Herzog', 'Ronald Reagan', 'George Shultz']","https://m.media-amazon.com/images/M/MV5BODk1YTNkMjAtNTI1NS00NDllLTkwZTEtMmVkNWMwOGU1YjMzXkEyXkFqcGdeQXVyMTAxMzE2OTg2._V1_UY209_CR0,0,140,209_AL_.jpg","8 November 2019 (UK)
","['English', 'Russian', 'German', 'Polish']"
 Bolden (2019),['Drama'],"A mythical account of the life of Buddy Bolden, the first Cornet King of New Orleans.                    ","['Dan Pritzker', 'Gary Carr', 'Erik LaRay Harvey', 'Ian McShane', 'Michael Rooker']","https://m.media-amazon.com/images/M/MV5BM2RhYjcxM2MtOTk5Ni00NGU2LTk2ZmYtZWFlZDQ1NzgxNTdmXkEyXkFqcGdeQXVyMTI1Njg1Mg@@._V1_UY209_CR0,0,140,209_AL_.jpg","3 May 2019 (USA)
",['English']
 Ying (2018),"['Action', 'Drama', 'War']",Life and intrigue in an ancient Chinese court.                    ,"['Yimou Zhang', 'Chao Deng', 'Li Sun', 'Ryan Zheng', 'Qianyuan Wang']","https://m.media-amazon.com/images/M/MV5BYmZkNjVlODQtOGNlZC00MWU2LWI0ZjUtNTQyMTZjOTBlZGQxXkEyXkFqcGdeQXVyNzk0MDg0MzE@._V1_UY209_CR4,0,140,209_AL_.jpg","30 September 2018 (China)
",['Mandarin']
 Clara (2018),['Sci-Fi'],"An obsessive astronomer and a curious artist form an unlikely bond which leads them to a profound, scientific discovery.                    ","['Akash Sherman', 'Patrick J. Adams', 'Troian Bellisario', 'Will Bowes', 'Jennifer Dale']","https://m.media-amazon.com/images/M/MV5BM2E5NDY4NGMtMzNiNi00ZWIwLTliYTgtMTYwNDZjNTdiNWVmXkEyXkFqcGdeQXVyNDExMzMxNjE@._V1_UY209_CR0,0,140,209_AL_.jpg","12 February 2019 (Canada)
",['See more']
 Shazam! (2019),"['Action', 'Adventure', 'Comedy', 'Fantasy']","We all have a superhero inside us, it just takes a bit of magic to bring it out. In Billy Batson's case, by shouting out one word - SHAZAM. - this streetwise fourteen-year-old foster kid can turn into the grown-up superhero Shazam.                    ","['David F. Sandberg', 'Zachary Levi', 'Mark Strong', 'Asher Angel', 'Jack Dylan Grazer']","https://m.media-amazon.com/images/M/MV5BYTE0Yjc1NzUtMjFjMC00Y2I3LTg3NGYtNGRlMGJhYThjMTJmXkEyXkFqcGdeQXVyNTI4MzE4MDU@._V1_UY209_CR0,0,140,209_AL_.jpg","5 April 2019 (India)
",['English']
 Pet Sematary (2019),"['Horror', 'Mystery', 'Thriller']","Dr. Louis Creed and his wife, Rachel, relocate from Boston to rural Maine with their two young children. The couple soon discover a mysterious burial ground hidden deep in the woods near their new home.                    ","['Kevin Kölsch', 'Dennis Widmyer', 'Jason Clarke', 'Amy Seimetz', 'John Lithgow', 'Jeté Laurence']","https://m.media-amazon.com/images/M/MV5BMjUyNjg1ODIwMl5BMl5BanBnXkFtZTgwNjMyOTYzNzM@._V1_UX140_CR0,0,140,209_AL_.jpg","5 April 2019 (USA)
",['English']
