city,theatre
hyderabad,AMB Cinemas: Gachibowli
hyderabad,Asian Cineplanet Multiplex: Kompally
hyderabad,Asian CineSquare Multiplex: Uppal
hyderabad,Asian GPR Multiplex: Kukatpally
hyderabad,Asian Lakshmikala Cinepride: Moosapet
hyderabad,Asian M Cube Mall: Attapur
hyderabad,Asian Radhika Multiplex: ECIL
hyderabad,Asian Sha: Chintal
hyderabad,Asian Shiva 4K: Dilsukhnagar
hyderabad,Asian Tarakarama Cineplex: Kachiguda
hyderabad,BVK Multiplex Vijayalakshmi: LB Nagar
hyderabad,Carnival: Ameerpet
hyderabad,"Carnival: Leonia, Shameerpet"
hyderabad,Cine Town: Miyapur
hyderabad,"Cinepolis: CCPL Mall Malkajgiri, Hyderabad"
hyderabad,"Cinepolis: Manjeera Mall, Kukatpally"
hyderabad,"Cinepolis: Mantra Mall, Attapur"
hyderabad,"Cinepolis: Sudha Cinemas, Hyderabad"
hyderabad,"INOX: GVK One, Banjara Hills"
hyderabad,INOX: Maheshwari
hyderabad,"Miraj Cinemas: Shalini Shivani, Hyderabad"
hyderabad,Platinum Movietime: Gachibowli
hyderabad,Prasads: Hyderabad
hyderabad,Prasads: Large Screen
hyderabad,"PVR Forum Sujana Mall: Kukatpally, Hyderabad"
hyderabad,"PVR ICON: Hitech, Madhapur, Hyderabad"
hyderabad,"PVR: Inorbit, Cyberabad"
hyderabad,"PVR: Irrum Manzil, Hyderabad"
hyderabad,"PVR: Musarambagh, Hyderabad"
hyderabad,"PVR: Next Galleria Mall, Panjagutta"
hyderabad,"PVR: Panjagutta, Hyderabad"
hyderabad,"PVR: RK Cineplex, Hyderabad"
hyderabad,Ramakrishna 70MM - Indra Cinemas: Abids
hyderabad,"SPI: S2 Mallapur Noma Talkies, Secunderabad"
hyderabad,Sri Sai Ram 70mm A/C 4k Dolby Atmos: Malkajgiri
hyderabad,Tivoli Cinemas: Secunderabad
hyderabad,VLS Sridevi 2K A/C Dts: Chilakalguda
hyderabad,Asian Jyothi: RC Puram
hyderabad,Asian Lakshmikala Cinepride: Moosapet
hyderabad,Bhramaramba 70MM A/C Dts: Kukatpally
hyderabad,Carnival: Ameerpet
hyderabad,"Cinepolis: Mantra Mall, Attapur"
hyderabad,Kalyani Movie Max: Bowenpally
hyderabad,Raghavendra 35mm: Malkajgiri
hyderabad,Sree Ramana 70MM 4K: Amberpet
hyderabad,"Mukta A2 Cinemas, Laxmi: Shamshabad"
hyderabad,Sri Mayuri Theatre: RTC X Roads
hyderabad,AMB Cinemas: Gachibowli
hyderabad,Asian CineSquare Multiplex: Uppal
hyderabad,Asian M Cube Mall: Attapur
hyderabad,Asian Radhika Multiplex: ECIL
hyderabad,"Cinepolis: CCPL Mall Malkajgiri, Hyderabad"
hyderabad,"Cinepolis: Mantra Mall, Attapur"
hyderabad,"Cinepolis: Sudha Cinemas, Hyderabad"
hyderabad,"INOX: GVK One, Banjara Hills"
hyderabad,"PVR Forum Sujana Mall: Kukatpally, Hyderabad"
hyderabad,"PVR ICON: Hitech, Madhapur, Hyderabad"
hyderabad,"PVR: Inorbit, Cyberabad"
hyderabad,"PVR: Irrum Manzil, Hyderabad"
hyderabad,"PVR: Musarambagh, Hyderabad"
hyderabad,"PVR: Next Galleria Mall, Panjagutta"
hyderabad,"PVR: Panjagutta, Hyderabad"
hyderabad,"PVR: Play House Next Galleria Mall, Panjagutta"
hyderabad,Sandhya 35mm: RTC X Road
hyderabad,Shanti Theatre: Narayanaguda
hyderabad,Tivoli Cinemas: Secunderabad
hyderabad,Asian Swapna 70mm: Katedan
hyderabad,"Cinepolis: Sudha Cinemas, Hyderabad"
hyderabad,Kumar Theatre: Kachiguda
hyderabad,"PVR Forum Sujana Mall: Kukatpally, Hyderabad"
hyderabad,Santosh Cinemas: Abids
hyderabad,Sree Rama Theatre: Bahadurpura
hyderabad,"Cinepolis: Mantra Mall, Attapur"
hyderabad,"Cinepolis: Sudha Cinemas, Hyderabad"
hyderabad,INOX: Maheshwari
hyderabad,Mukta A2 Cinemas: Abids
hyderabad,"PVR: 4DX, Irrum Manzil, Hyderabad"
hyderabad,AMB Cinemas: Gachibowli
hyderabad,Asian Cineplanet Multiplex: Kompally
hyderabad,Asian CineSquare Multiplex: Uppal
hyderabad,Asian GPR Multiplex: Kukatpally
hyderabad,Asian Lakshmikala Cinepride: Moosapet
hyderabad,Asian M Cube Mall: Attapur
hyderabad,Asian Radhika Multiplex: ECIL
hyderabad,Asian Sha: Chintal
hyderabad,Asian Shiva 4K: Dilsukhnagar
hyderabad,Asian Tarakarama Cineplex: Kachiguda
hyderabad,BVK Multiplex Vijayalakshmi: LB Nagar
hyderabad,Carnival: Ameerpet
hyderabad,Cine Town: Miyapur
hyderabad,"Cinepolis: CCPL Mall Malkajgiri, Hyderabad"
hyderabad,"Cinepolis: Manjeera Mall, Kukatpally"
hyderabad,"Cinepolis: Mantra Mall, Attapur"
hyderabad,"INOX: GVK One, Banjara Hills"
hyderabad,INOX: Maheshwari
hyderabad,"Miraj Cinemas: Shalini Shivani, Hyderabad"
hyderabad,Platinum Movietime: Gachibowli
hyderabad,Prasads: Hyderabad
hyderabad,Prasads: Large Screen
hyderabad,"PVR Forum Sujana Mall: Kukatpally, Hyderabad"
hyderabad,"PVR ICON: Hitech, Madhapur, Hyderabad"
hyderabad,"PVR: Inorbit, Cyberabad"
hyderabad,"PVR: Irrum Manzil, Hyderabad"
hyderabad,"PVR: Musarambagh, Hyderabad"
hyderabad,"PVR: Next Galleria Mall, Panjagutta"
hyderabad,"PVR: Panjagutta, Hyderabad"
hyderabad,"PVR: RK Cineplex, Hyderabad"
hyderabad,Ramakrishna 70MM - Indra Cinemas: Abids
hyderabad,"SPI: S2 Mallapur Noma Talkies, Secunderabad"
hyderabad,Sri Sai Ram 70mm A/C 4k Dolby Atmos: Malkajgiri
hyderabad,Tivoli Cinemas: Secunderabad
hyderabad,VLS Sridevi 2K A/C Dts: Chilakalguda
hyderabad,Asian Jyothi: RC Puram
hyderabad,Bhramaramba 70MM A/C Dts: Kukatpally
hyderabad,Carnival: Ameerpet
hyderabad,"Cinepolis: CCPL Mall Malkajgiri, Hyderabad"
hyderabad,"Cinepolis: Mantra Mall, Attapur"
hyderabad,Kalyani Movie Max: Bowenpally
hyderabad,"PVR Forum Sujana Mall: Kukatpally, Hyderabad"
hyderabad,"PVR: Next Galleria Mall, Panjagutta"
hyderabad,Raghavendra 35mm: Malkajgiri
hyderabad,Sree Ramana 70MM 4K: Amberpet
hyderabad,Asian Lakshmikala Cinepride: Moosapet
hyderabad,"Mukta A2 Cinemas, Laxmi: Shamshabad"
hyderabad,Sri Mayuri Theatre: RTC X Roads
hyderabad,AMB Cinemas: Gachibowli
hyderabad,Asian Cineplanet Multiplex: Kompally
hyderabad,Asian CineSquare Multiplex: Uppal
hyderabad,Asian M Cube Mall: Attapur
hyderabad,Asian Radhika Multiplex: ECIL
hyderabad,"Cinepolis: CCPL Mall Malkajgiri, Hyderabad"
hyderabad,"Cinepolis: Manjeera Mall, Kukatpally"
hyderabad,"Cinepolis: Mantra Mall, Attapur"
hyderabad,"INOX: GVK One, Banjara Hills"
hyderabad,INOX: Maheshwari
hyderabad,Prasads: Hyderabad
hyderabad,"PVR Forum Sujana Mall: Kukatpally, Hyderabad"
hyderabad,"PVR ICON: Hitech, Madhapur, Hyderabad"
hyderabad,"PVR: Inorbit, Cyberabad"
hyderabad,"PVR: Irrum Manzil, Hyderabad"
hyderabad,"PVR: Musarambagh, Hyderabad"
hyderabad,"PVR: Next Galleria Mall, Panjagutta"
