title,cast_name,cast_img_link
Avengers: Endgame,"['Chris Evans', 'Robert Downey Jr.', 'Chris Hemsworth', 'Brie Larson']","['//in.bmscdn.com/iedb/artist/images/website/poster/large/chris-evans-430-22-12-2017-10-13-37.jpg', '//in.bmscdn.com/iedb/artist/images/website/poster/large/robert-downey-jr-1902-17-12-2018-02-26-59.jpg', '//in.bmscdn.com/iedb/artist/images/website/poster/large/chris-hemsworth-24185-24-03-2017-12-37-46.jpg', '//in.bmscdn.com/iedb/artist/images/website/poster/large/brie-larson-28222-24-03-2017-13-54-03.jpg']"
Jersey,"['Nani', 'Shraddha Srinath', 'Sathyaraj', 'Rao Ramesh']","['//in.bmscdn.com/iedb/artist/images/website/poster/large/nani-7485-24-03-2017-12-51-17.jpg', '//in.bmscdn.com/iedb/artist/images/website/poster/large/shraddha-srinath-30452-24-03-2017-16-02-10.jpg', '//in.bmscdn.com/iedb/artist/images/website/poster/large/sathyaraj-3835-23-08-2018-11-06-38.jpg', '//in.bmscdn.com/iedb/artist/images/website/poster/large/rao-ramesh-8665-24-03-2017-17-46-17.jpg']"
Kanchana 3,"['Raghavendra Lawrence', 'Oviya', 'Vedhika', 'Kabir Duhan Singh']","['//in.bmscdn.com/iedb/artist/images/website/poster/large/raghavendra-lawrence-5258-24-03-2017-17-40-08.jpg', '//in.bmscdn.com/iedb/artist/images/website/poster/large/oviya-helen-24608-24-03-2017-14-02-31.jpg', '//in.bmscdn.com/iedb/artist/images/website/poster/large/vedhika-4577-24-03-2017-14-02-35.jpg', '//in.bmscdn.com/iedb/artist/images/website/poster/large/kabir-duhan-singh-1060607-24-03-2017-16-20-36.jpg']"
Chitralahari,"['Sai Dharam Tej', 'Kalyani Priyadarshan', 'Nivetha Pethuraj', 'Brahmaji']","['//in.bmscdn.com/iedb/artist/images/website/poster/large/sai-dharam-tej-29680-24-03-2017-17-46-32.jpg', '//in.bmscdn.com/iedb/artist/images/website/poster/large/kalyani-priyadarshan-1087722-16-11-2017-04-27-00.jpg', '//in.bmscdn.com/iedb/artist/images/website/poster/large/nivetha-pethuraj-1061197-24-03-2017-16-20-58.jpg', '//in.bmscdn.com/iedb/artist/images/website/poster/large/brahmaji-7392-24-03-2017-13-05-30.jpg']"
Majili,"['Naga Chaitanya Akkineni', 'Samantha Akkineni', 'Mani Kiran Reddy', 'Posani Krishna Murali']","['//in.bmscdn.com/iedb/artist/images/website/poster/large/naga-chaitanya-akkineni-13567-19-09-2017-01-43-19.jpg', '//in.bmscdn.com/iedb/artist/images/website/poster/large/samantha-ruth-prabhu-36761-19-09-2017-09-44-58.jpg', '//in.bmscdn.com/Artist/1070784.jpg', '//in.bmscdn.com/iedb/artist/images/website/poster/large/posani-krishna-murali-9722-24-03-2017-17-41-52.jpg']"
Kalank,"['Varun Dhawan', 'Aditya Roy Kapur', 'Sanjay Dutt', 'Alia Bhatt']","['//in.bmscdn.com/iedb/artist/images/website/poster/large/varun-dhawan-21064-12-09-2017-02-22-38.jpg', '//in.bmscdn.com/iedb/artist/images/website/poster/large/aditya-roy-kapur-1046800-12-09-2017-06-00-23.jpg', '//in.bmscdn.com/iedb/artist/images/website/poster/large/sanjay-dutt-2035-12-09-2017-05-07-10.jpg', '//in.bmscdn.com/iedb/artist/images/website/poster/large/alia-bhatt-21065-13-09-2017-04-53-45.jpg']"
The Tashkent Files,"['Naseeruddin Shah', 'Mithun Chakraborty', 'Pankaj Tripathi', 'Mandira Bedi']","['//in.bmscdn.com/iedb/artist/images/website/poster/large/naseeruddin-shah-1554-24-03-2017-12-31-15.jpg', '//in.bmscdn.com/iedb/artist/images/website/poster/large/mithun-chakraborty-1493-24-03-2017-12-31-13.jpg', '//in.bmscdn.com/iedb/artist/images/website/poster/large/pankaj-tripathi-29809-23-03-2017-02-54-29.jpg', '//in.bmscdn.com/iedb/artist/images/website/poster/large/mandira_bedi_1347_20-07-2016_04-05-57.jpg']"
Dumbo,"['Colin Farrell', 'Finley Hobbins', 'Nico Parker', 'Eva Green']","['//in.bmscdn.com/iedb/artist/images/website/poster/large/colin-farrell-468-24-03-2017-13-52-20.jpg', '//in.bmscdn.com/iedb/artist/images/website/poster/large/finley-hobbins-1266671-26-03-2019-12-00-32.jpg', '//in.bmscdn.com/iedb/artist/images/website/poster/large/nico-parker-1266672-26-03-2019-12-01-33.jpg', '//in.bmscdn.com/iedb/artist/images/website/poster/large/eva-green-662-26-10-2016-06-39-51.jpg']"
The Curse Of The Weeping Woman,"['Linda Cardellini', 'Patricia Velásquez', 'Sean Patrick Thomas', 'Raymond Cruz']","['//in.bmscdn.com/iedb/artist/images/website/poster/large/linda-cardellini-1063421-24-03-2017-17-29-10.jpg', '//in.bmscdn.com/iedb/artist/images/website/poster/large/patricia-velasquez-iein098729-15-04-2019-14-19-39.jpg', '//in.bmscdn.com/iedb/artist/images/website/poster/large/sean-patrick-thomas-iein074634-15-04-2019-14-23-46.jpg', '//in.bmscdn.com/iedb/artist/images/website/poster/large/raymond-cruz-iein008326-24-03-2017-13-58-25.jpg']"
Oru Yamandan Prema Kadha,"['Dulquer Salmaan', 'Soubin Shahir', 'Vishnu Unnikrishnan', 'Samyuktha Menon']","['//in.bmscdn.com/iedb/artist/images/website/poster/large/dulquer-salmaan-37626-19-09-2017-04-04-09.jpg', '//in.bmscdn.com/iedb/artist/images/website/poster/large/soubin-shahir-1065318-17-12-2018-04-50-05.jpg', '//in.bmscdn.com/iedb/artist/images/website/poster/large/vishnu-unnikrishnan-1044970-24-03-2017-17-52-25.jpg', '//in.bmscdn.com/iedb/artist/images/website/poster/large/samyuktha-menon-1091683-05-04-2018-12-11-15.jpg']"
