title,dimension
Avengers: Endgame,3D
Avengers: Endgame,2D
Avengers: Endgame,3D-4DX
Jersey,2D
Kanchana 3,2D
Chitralahari,2D
Majili,2D
Kalank,2D
The Tashkent Files,2D
Dumbo,2D
The Curse Of The Weeping Woman,2D
Oru Yamandan Prema Kadha,2D
How To Train Your Dragon: The Hidden World,2D
Diksoochi,2D
Blank,2D
Idhi ChalaThakkuva,2D
Nuvvu Thopu Raa,2D
Setters,2D
Duppatlo Minnagu,2D
Geetha Chalo,2D
Danger Love Story,2D
Okate Life,2D
Total Dhamaal,2D
Romeo Akbar Walter,2D
Hellboy,2D
Vijayaratha ,N/A
1978 A Teen Night Out,N/A
Gunwali Dulhaniya,N/A
Hansa Ek Sanyog,N/A
Uglydolls,N/A
K 13,N/A
Lucifer (Tamil),N/A
Rangupaduddi,N/A
Baalaa,N/A
Ombathane Adbutha,N/A
Loafers,N/A
Gara,N/A
Ikkayude Shakadam,N/A
Blackia,N/A
Jind Jaan,N/A
Dil Diyan Gallan,N/A
Bau Na Vichaar,N/A
Bornodi Bhotiai,N/A
Maharshi,N/A
Student Of The Year 2,N/A
Chhota Bheem: Kung Fu Dhamaka,N/A
BRIGHTBURN,N/A
Pokemon Detective Pikachu,N/A
Ayogya,N/A
Neeya 2,N/A
Nagakanya,N/A
Khananam,N/A
Sorry,N/A
Ek Hota Pani,N/A
66 Sadashiv,N/A
Soojidaara,N/A
Anushka,N/A
Traya,N/A
Khanana,N/A
Jeem Boom Bhaa,N/A
Lukan Michi,N/A
15 Lakh Kadon Aauga,N/A
Konttho,N/A
Jalsaghar,N/A
Evadu Thakkuva Kadu,N/A
Sindhubaadh,N/A
Chase,N/A
De De Pyaar De,N/A
A Dogs Journey,N/A
The Hustle,N/A
John Wick: Chapter 3 - Parabellum,N/A
The Sun Is Also A Star,N/A
Mr. Local,N/A
Arjun Suravaram,N/A
ABCD: American Born Confused Desi,N/A
Rampaat,N/A
Ratnamanjarii,N/A
Gangstar vs State,N/A
Bhoot Chaturdashi,N/A
Wrong Number,N/A
Chhoriyan Chhoron Se Kam Nai Hoti,N/A
India's Most Wanted,N/A
Aladdin,N/A
Chaturnath,N/A
Ad Astra,N/A
Kolaigaran,N/A
Burra Katha,N/A
Judgement,N/A
D/O Parvathamma,N/A
Rakshapurushan,N/A
Muklawa,N/A
Chandigarh Amritsar Chandigarh,N/A
Durgeshgorer Guptodhon,N/A
Godzilla 2: King of the Monsters,N/A
MA,N/A
Rocketman,N/A
NGK,N/A
Devi 2,N/A
Dear Comrade,N/A
BaBo,N/A
Andolan,N/A
Bharat,N/A
Rakshasudu,N/A
Dastaan E Miri Piri,N/A
Kidnap,N/A
 X-Men: Dark Phoenix,N/A
Mogra Phulaalaa,N/A
Mental Hai Kya,N/A
Toy Story 4,N/A
Miracle,N/A
Kabir Singh,N/A
Shadaa,N/A
Drive,N/A
Annabelle Comes Home,N/A
Takatak,N/A
Adham,N/A
Manaroopa,N/A
Mindo Taseeldarni,N/A
Satellite Shankar,N/A
Spider-Man: Far From Home,N/A
Jabariya Jodi,N/A
Jai Mummy Di,N/A
A Biopic from the Film Industry,N/A
Top Gun: Maverick,N/A
Jaddi Sardar,N/A
The Lion King,N/A
Pal Pal Dil Ke Paas,N/A
Arjun Patiala,N/A
Smile Please,N/A
Super 30,N/A
Once Upon A Time In Hollywood,N/A
Hobbs and Shaw,N/A
Stuber,N/A
The New Mutants,N/A
Chase No Mercy to Crime,N/A
Dora And The Lost City Of Gold,N/A
Kalki,N/A
Artemis Fowl,N/A
Batla House,N/A
Made In China,N/A
Saaho,N/A
Ye Re Ye Re Paisa 2,N/A
Bayko Deta Ka Bayko,N/A
Naukar Vahuti Da,N/A
Chhichhore,N/A
Kaappaan,N/A
It: Chapter 2,N/A
Dream Girl,N/A
Spies In Disguise,N/A
Daaka,N/A
Nikka Zaildar 3,N/A
Abominable,N/A
Doorbeen,N/A
Gaalib,N/A
Rambo,N/A
Marjaavaan,N/A
The Woman In The Window,N/A
Joker,N/A
Gemini Man,N/A
Password,N/A
The Sky Is Pink,N/A
Jungle Cruise ,N/A
Pynngop,N/A
Maleficent 2,N/A
Kaithi,N/A
Jinde Meriye,N/A
ABCD 3,N/A
Street Dancer 3,N/A
Terminator,N/A
Frozen 2,N/A
Dil Bechara,N/A
Panipat,N/A
Pati Patni Aur Woh,N/A
