title,genre
Avengers: Endgame,"['Action', 'Adventure', 'Fantasy']"
Jersey,"['Drama', 'Sports']"
Kanchana 3,"['Comedy', 'Horror']"
Chitralahari,"['Drama', 'Romance']"
Majili,"['Drama', 'Romance']"
Kalank,"['Drama', 'Period-', 'Romance']"
The Tashkent Files,"['Drama', 'Mystery', 'Thriller']"
Dumbo,"['Adventure', 'Family', 'Fantasy']"
The Curse Of The Weeping Woman,"['Horror', 'Mystery', 'Thriller']"
Oru Yamandan Prema Kadha,"['Comedy', 'Drama', 'Romance']"
How To Train Your Dragon: The Hidden World,"['Action', 'Adventure', 'Animation']"
Diksoochi,"['Crime', 'Thriller']"
Blank,"['Action', 'Thriller']"
Idhi ChalaThakkuva,['Drama']
Nuvvu Thopu Raa,"['Action', 'Drama']"
Setters,"['Crime', 'Drama', 'Thriller']"
Duppatlo Minnagu,['Drama']
Geetha Chalo,"['Comedy', 'Romance']"
Danger Love Story,"['Drama', 'Romance']"
Okate Life,['Drama']
Total Dhamaal,['Comedy']
Romeo Akbar Walter,"['Action', 'Thriller']"
Hellboy,"['Action', 'Adventure']"
Vijayaratha ,"['History', 'Thriller']"
1978 A Teen Night Out,"['Horror', 'Thriller']"
Gunwali Dulhaniya,['Drama']
Hansa Ek Sanyog,['Drama']
Uglydolls,"['Adventure', 'Animation', 'Comedy']"
K 13,"['Action', 'Drama', 'Thriller']"
Lucifer (Tamil),['Drama']
Rangupaduddi,"['Comedy', 'Horror']"
Baalaa,['Drama']
Ombathane Adbutha,['Drama']
Loafers,['Drama']
Gara,['Drama']
Ikkayude Shakadam,['Drama']
Blackia,"['Crime', 'Drama', 'Period ']"
Jind Jaan,['Drama']
Dil Diyan Gallan,['Drama']
Bau Na Vichaar,['Drama']
Bornodi Bhotiai,['Drama']
Maharshi,"['Action', 'Drama', 'Romance']"
Student Of The Year 2,"['Drama', 'Romance', 'Sports ']"
Chhota Bheem: Kung Fu Dhamaka,"['Action', 'Adventure', 'Animation']"
BRIGHTBURN,"['Drama', 'Horror']"
Pokemon Detective Pikachu,"['Adventure', 'Comedy']"
Ayogya,['Drama']
Neeya 2,['Drama']
Nagakanya,['Drama']
Khananam,"['Suspense', 'Thriller']"
Sorry,"['Drama', 'Family', 'Fantasy']"
Ek Hota Pani,['Drama']
66 Sadashiv,['Drama']
Soojidaara,['Drama']
