title,reldate,ageres,cover,plot,trailers,duration,likes,name
Avengers: Endgame,"26 Apr, 2019",UA ,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/avengers-end-game-et00090482-07-12-2018-06-50-21.jpg,"The grave course of events set in motion by Thanos that wiped out half the universe and fractured the Avengers ranks compels the remaining Avengers to take one final stand in Marvel Studios` grand conclusion to twenty-two films, ""Avengers: Endgame.""",N/A,3 hrs 02 mins,"166,387",Avengers: Endgame
Jersey,"19 Apr, 2019",U ,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/jersey-et00077973-19-06-2018-02-57-43.jpg,"Luck hasn't always been in favour of Arjun, a gifted cricketer in his mid-thirties whose career has failed to take off. With everyone around him insisting that he should give up on his career, will Arjun have the courage of conviction to continue pursuing his dream?",N/A,2 hrs 40 mins,"49,688",Jersey
Kanchana 3,"19 Apr, 2019",UA ,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/kanchana-3-et00100795-13-04-2019-07-26-53.jpg,"The fourth installment in the Muni film series has the popular ghost hunter (played by Raghava Lawrence) returning to fight the evil forces: both supernatural and earthly. Written and directed by Raghava, the film also stars Vedhika, Oviya and Nikki Tamboli.",N/A,2 hrs 44 mins,"24,287",Kanchana 3
Chitralahari,"12 Apr, 2019",U ,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/chitralahari-et00094348-18-01-2019-10-45-26.jpg,"Down on luck and depressed by constant failures in personal and professional life, Vijay is desperately in search of that single stroke of fortune that could turn his life around. But what if the power to rewrite his destiny lies within?",N/A,2 hrs 11 mins,"26,186",Chitralahari
Majili,"05 Apr, 2019",UA ,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/majili-et00093077-30-12-2018-11-30-13.jpg,"The unfulfilled dream of a cricket career and a failed romance leaves a youngster disillusioned and puts a strain on his family life. Despite the support and encouragement of his newlywed wife, he fails to appreciate the blessings in his life. Will it be too late before he realises his mistakes?",N/A,2 hrs 34 mins,"54,061",Majili
Kalank,"17 Apr, 2019",UA ,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/kalank-et00074273-18-04-2018-10-27-54.jpg,"Set in 1945, in Pre-Independence India, Kalank is a tale of eternal love.",N/A,2 hrs 48 mins,"33,344",Kalank
The Tashkent Files,"12 Apr, 2019",UA ,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/the-tashkent-files-et00069063-11-01-2018-11-36-30.jpg,"The Tashkent Files is a gripping thriller that revolves around the mysterious death of India's 2nd Prime Minister Shri Lal Bahadur Shastri and attempts to uncover if he had actually died a natural death, or, as alleged, was assassinated.",N/A,2 hrs 24 mins,"14,435",The Tashkent Files
Dumbo,"29 Mar, 2019",U ,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/dumbo-et00055829-08-04-2017-09-54-03.jpg,"From Disney and visionary director Tim Burton, the all-new grand live-action adventure ""Dumbo"" expands on the beloved classic story where differences are celebrated, family is cherished and dreams take flight. Circus owner Max Medici (Danny DeVito) enlists former star Holt Farrier (Colin Farrell) and his children Milly (Nico Parker) and Joe (Finley Hobbins) to care for a newborn elephant whose oversized ears make him a laughingstock in an already struggling circus. But when they discover that Dumbo can fly, the circus makes an incredible comeback, attracting persuasive entrepreneur V.A. Vandevere (Michael Keaton), who recruits the peculiar pachyderm for his newest, larger-than-life entertainment venture, Dreamland.",N/A,1 hrs 52 mins,"8,944",Dumbo
The Curse Of The Weeping Woman,"19 Apr, 2019",A ,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/la-llorona-et00086600-18-10-2018-12-12-44.jpg,"When the lives of her children are endangered by an evil spirit, a single mother seeks the help of a priest to escape a tragic fate. Set in Los Angeles in the 1970s, the horror thriller brings alive the Latin American legend of La Llorona, who is believed to stalk the night and prey on children.",N/A,1 hrs 33 mins,"5,781",The Curse Of The Weeping Woman
Oru Yamandan Prema Kadha,"25 Apr, 2019",U ,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/oru-yamandan-prema-kadha-et00079214-05-07-2018-03-45-10.jpg,"A complete entertainer with elements of romance, comedy and action, Oru Yamandan Prema Kadha takes us into the world of a spirited youngster named Lallu and his colourful gang of friends. Directed by B.C. Noufal, the film stars Dulquer Salmaan in the lead role.",N/A,2 hrs 45 mins,"12,411",Oru Yamandan Prema Kadha
