title,director
Avengers: Endgame,Anthony Russo
Jersey,Gowtam Tinnanuri
Kanchana 3,Raghavendra Lawrence
Chitralahari,Kishore Tirumala
Majili,Shiva Nirvana
Kalank,Abhishek Varman
The Tashkent Files,Vivek Agnihotri
Dumbo,Tim Burton
The Curse Of The Weeping Woman,Michael Chaves
Oru Yamandan Prema Kadha,B.C. Noufal
How To Train Your Dragon: The Hidden World,Dean DeBlois
Diksoochi,Dilip Kumar salvadi
Blank,Behzad Khambata
Idhi ChalaThakkuva,Anita Udeep
Nuvvu Thopu Raa,D. Harinath Babu
Setters,Ashwini Chaudhary
Duppatlo Minnagu,Yendamuri Veerendranath
Geetha Chalo,Narsimhaiah Sunil Kumar
Danger Love Story,Mr. Shekar Chandra
Okate Life,M Venkat
Total Dhamaal,Indra Kumar
Romeo Akbar Walter,Robbie Grewal
