Avengers: Endgame,English
Jersey,Telugu
Kanchana 3,Telugu
Chitralahari,Telugu
Majili,Telugu
Kalank,Hindi
The Tashkent Files,Hindi
Dumbo,English
The Curse Of The Weeping Woman,English
Oru Yamandan Prema Kadha,Malayalam
Blank,Hindi
How To Train Your Dragon: The Hidden World,English
Diksoochi,Telugu
Idhi ChalaThakkuva,Telugu
Uyare,Malayalam
Nuvvu Thopu Raa,Telugu
Setters,Hindi
A Dog's Way Home,English
Uglydolls,English
Okate Life,Telugu
Duppatlo Minnagu,Telugu
Geetha Chalo,Telugu
After,English
Danger Love Story,Telugu
Total Dhamaal,Hindi
Romeo Akbar Walter,Hindi
Hellboy,Hindi
1978 A Teen Night Out,Hindi
Gunwali Dulhaniya,Hindi
Hansa Ek Sanyog,Hindi
3rd Eye,Hindi
K 13,Tamil
Lucifer (Tamil),Tamil
Rangupaduddi,Telugu
Baalaa,Marathi
Gara,Kannada
Ombathane Adbutha,Kannada
Loafers,Kannada
Prakashante Metro,Malayalam
Ikkayude Shakadam,Malayalam
Blackia,Punjabi
Jind Jaan,Punjabi
Dil Diyan Gallan,Punjabi
Bau Na Vichaar,Gujarati
Bornodi Bhotiai,Assamese
Maharshi,Telugu
Student Of The Year 2,Hindi
Chhota Bheem: Kung Fu Dhamaka,Hindi
BRIGHTBURN,English
Pokemon Detective Pikachu,English
Ayogya,Tamil
Neeya 2,Tamil
Nagakanya,Telugu
Khananam,Telugu
Sorry,Marathi
Ek Hota Pani,Marathi
66 Sadashiv,Marathi
Soojidaara,Kannada
Anushka,Kannada
Traya,Kannada
Khanana,Kannada
Jeem Boom Bhaa,Malayalam
Lukan Michi,Punjabi
15 Lakh Kadon Aauga,Punjabi
Konttho,Bengali
Jalsaghar,Gujarati
Evadu Thakkuva Kadu,Telugu
Sindhubaadh,Tamil
Chase,Kannada
De De Pyaar De,Hindi
The Sun Is Also A Star,English
The Hustle,English
A Dogs Journey,English
John Wick: Chapter 3 - Parabellum,English
Mr. Local,Tamil
ABCD: American Born Confused Desi,Telugu
Rampaat,Marathi
Ratnamanjarii,Kannada
Gangstar vs State,Punjabi
Bhoot Chaturdashi,Bengali
Wrong Number,Bengali
Chhoriyan Chhoron Se Kam Nai Hoti,Haryanvi
India's Most Wanted,Hindi
Aladdin,Hindi
Chaturnath,Hindi
Ad Astra,English
Kolaigaran,Tamil
Burra Katha,Telugu
Judgement,Marathi
D/O Parvathamma,Kannada
Rakshapurushan,Malayalam
Muklawa,Punjabi
Chandigarh Amritsar Chandigarh,Punjabi
Durgeshgorer Guptodhon,Bengali
Godzilla 2: King of the Monsters,Hindi
MA,English
Rocketman,English
NGK,Tamil
Devi 2,Tamil
Dear Comrade,Tamil
BaBo,Marathi
Andolan,Bhojpuri
Bharat,Hindi
Rakshasudu,Telugu
Dastaan E Miri Piri,Punjabi
Kidnap,Bengali
 X-Men: Dark Phoenix,Hindi
Mogra Phulaalaa,Marathi
Mental Hai Kya,Hindi
Toy Story 4,Hindi
Miracle,Hindi
